[2024/03/28 22:02:09.719][epsonscan2      ][DbgLog.cpp                                   ; 569][P7CDbgLog                                    ][00006563][-ERROR-] LoadModule Path:[/usr/bin/epsonscan2] Ver:[1.0.0]
[2024/03/28 22:02:23.079][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.079][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt TransferCompression 0
[2024/03/28 22:02:23.079][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.079][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = TransferCompression
[2024/03/28 22:02:23.079][epsonscan2      ][ESScanner.cpp                                ; 153][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get capability for key. Key:imageFormat, Target:AvailableValues
[2024/03/28 22:02:23.079][epsonscan2      ][ESScanner.cpp                                ; 408][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get target capability for keys. key:imageFormat, target:AvailableValues
[2024/03/28 22:02:23.079][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.079][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.079][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.080][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerSaveTime
[2024/03/28 22:02:23.080][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.080][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt SleepTime 0
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = SleepTime
[2024/03/28 22:02:23.080][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.080][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerSaveTime
[2024/03/28 22:02:23.080][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.080][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.080][epsonscan2      ][ESScanner.cpp                                ; 180][GetAllValuesForKey                           ][00006563][-TRACE-] ENTER : GetAllValuesForKey
[2024/03/28 22:02:23.080][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  41][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerOffTime
[2024/03/28 22:02:23.080][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.080][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt AutoPowerOffTime 0
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.080][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = AutoPowerOffTime
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.081][epsonscan2      ][ESScanner.cpp                                ; 180][GetAllValuesForKey                           ][00006563][-TRACE-] ENTER : GetAllValuesForKey
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  41][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerOffTime
[2024/03/28 22:02:23.081][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerOffTime2nd
[2024/03/28 22:02:23.081][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.081][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt AutoPowerOffTimeBattery 0
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = AutoPowerOffTimeBattery
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.081][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : powerOffTime2nd
[2024/03/28 22:02:23.081][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.081][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.081][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt 2in1Mode 0
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = 2in1Mode
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.082][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt BackgroundColor 3
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = BackgroundColor
[2024/03/28 22:02:23.082][epsonscan2      ][ESScanner.cpp                                ; 153][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get capability for key. Key:BGColor, Target:AvailableValues
[2024/03/28 22:02:23.082][epsonscan2      ][ESScanner.cpp                                ; 408][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get target capability for keys. key:BGColor, target:AvailableValues
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.082][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.082][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.082][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : autoFeedingMode
[2024/03/28 22:02:23.082][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.082][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt AFMMode 0
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.082][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = AFMMode
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : autoFeedingMode
[2024/03/28 22:02:23.083][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.083][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : autoFeedingModeTimeout
[2024/03/28 22:02:23.083][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.083][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt AFMTimeout 0
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = AFMTimeout
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.083][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : autoFeedingModeTimeout
[2024/03/28 22:02:23.083][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.083][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.083][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.084][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.084][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : continuousAutoFeedingMode
[2024/03/28 22:02:23.084][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.084][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt continuousAutoFeedingMode 0
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = continuousAutoFeedingMode
[2024/03/28 22:02:23.084][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.084][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : continuousAutoFeedingMode
[2024/03/28 22:02:23.084][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.084][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt AutoCroppingInscribed 0
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.084][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = AutoCroppingInscribed
[2024/03/28 22:02:23.084][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt FunctionalUnit 0
[2024/03/28 22:02:23.084][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt FunctionalUnit 0
[2024/03/28 22:02:23.084][epsonscan2      ][ESScanner.cpp                                ; 153][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get capability for key. Key:autoCroppingInscribed, Target:AvailableValues
[2024/03/28 22:02:23.085][epsonscan2      ][ESScanner.cpp                                ; 408][GetTargetCapabilityForKey                    ][00006563][-ERROR-] Failed get target capability for keys. key:autoCroppingInscribed, target:AvailableValues
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.085][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt ESADFCard 0
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = ESADFCard
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.085][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.085][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.085][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : sensorGlassDirtSensitivity
[2024/03/28 22:02:23.085][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.085][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt sensorGlassDirtySensitivity 0
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = sensorGlassDirtySensitivity
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.085][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.085][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : adfPaperProtection
[2024/03/28 22:02:23.086][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.086][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt adfPaperProtection 0
[2024/03/28 22:02:23.086][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.086][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = adfPaperProtection
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : adfPaperProtection
[2024/03/28 22:02:23.086][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.086][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.086][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.086][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.086][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : behaviorWhenDoubleFeed
[2024/03/28 22:02:23.086][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.086][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt behaviorWhenDoubleFeed 0
[2024/03/28 22:02:23.086][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = behaviorWhenDoubleFeed
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : behaviorWhenDoubleFeed
[2024/03/28 22:02:23.087][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.087][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : directPowerOn
[2024/03/28 22:02:23.087][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.087][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt directPowerOn 0
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = directPowerOn
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.087][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : directPowerOn
[2024/03/28 22:02:23.087][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.087][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.088][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.088][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.088][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : nonConnectPowerOff
[2024/03/28 22:02:23.088][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.088][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt nonConnectPowerOff 0
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = nonConnectPowerOff
[2024/03/28 22:02:23.088][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.088][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  34][GetValueForKey                               ][00006563][WARNING] Unsuported Key : nonConnectPowerOff
[2024/03/28 22:02:23.088][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.088][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt scannerKind 12
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = scannerKind
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.088][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.089][epsonscan2      ][PassThroughInt.hpp                           ;  49][GetValue                                     ][00006563][-TRACE-] [Test] GetValue
[2024/03/28 22:02:23.089][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.089][epsonscan2      ][ESScanner.cpp                                ; 180][GetAllValuesForKey                           ][00006563][-TRACE-] ENTER : GetAllValuesForKey
[2024/03/28 22:02:23.089][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  41][GetValueForKey                               ][00006563][WARNING] Unsuported Key : duplexType
[2024/03/28 22:02:23.089][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.089][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt adfDuplexType 0
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = adfDuplexType
[2024/03/28 22:02:23.089][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  24][GetValueForKey                               ][00006563][-TRACE-] ENTER : GetValueForKey
[2024/03/28 22:02:23.089][epsonscan2      ][ESScanner.cpp                                ; 180][GetAllValuesForKey                           ][00006563][-TRACE-] ENTER : GetAllValuesForKey
[2024/03/28 22:02:23.089][epsonscan2      ][ESCIScanner_Accessor.cpp                     ;  41][GetValueForKey                               ][00006563][WARNING] Unsuported Key : duplexType
[2024/03/28 22:02:23.089][epsonscan2      ][ESScanner.cpp                                ; 469][GetValueForKey                               ][00006563][-ERROR-] Failed get value for key.
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.089][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt RemovePunchHole 0
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 212][GetValue                                     ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 337][GetCapability                                ][00006563][-TRACE-] Enter key = RemovePunchHole
[2024/03/28 22:02:23.089][epsonscan2      ][Controller.cpp                               ; 341][GetCapability                                ][00006563][-TRACE-] Leave
[2024/03/28 22:02:23.090][epsonscan2      ][Controller.cpp                               ; 210][GetValue                                     ][00006563][-TRACE-] Enter
[2024/03/28 22:02:23.090][epsonscan2      ][Key.cpp                                      ;  32][GetValue                                     ][00006563][-TRACE-] GetValueInt DeficienryCorrection 0
